text;translation;comment;region
WEBMCJ BKQJ;;This is on the League building, sharing the same four letters as on the Pokédex title. Maybe the four letters mean “Poke-“? But wait a sec, “Pokémon” in Galarian/Paldean is already established to be ?wru#wt… so what’s WEBMCJ/WEBMQX? Maybe, as Kinnit also suggested, that Galarian and Paldean could be treated as different languages, and simply this IS the Paldean word for Pokémon? Maybe, given with the word above, is “Paldea”? After all, this could be the word (in Spanish) “PALDEA LIGA”, or “Paldea League”…? After all b = L and J = A in both (well, if you ignore the E = A bit).;Paldea
W87;;Compare/Contrast with 7Z0652OP DV4 seen in Galar Region Gyms, as well as how both W87, WEBMQX and WEBMCJ all start with the same character. Maybe w87 is an initialism?;Paldea
E2^z J6u;;New company name;Paldea
ATA8 / AT-A8;;The logo has the letters on two rows.;Paldea
ARuLZEY9uuL;;Completely new company name!;Paldea
#WT3L84 BZ99;;Definitely legit;Paldea
j6uh V8CLM9S7CK+BTY;;Nothing in this text ever appeared before, although K+BTY appears in an Iono advertising (see below);Paldea
LM9S7C (MA);;This almost looks like some kind of public service notice (“Please don’t step on Dedenne!”), especially with the MA logo in the bottom-left corner which looks like an “Ad Council” logo.;Paldea
+BTY9x3v;;The 9x3v bit at the end is new, while +BTY was seen the above Stir-fried Rice advertisement.;Paldea
9x3vt3b+kLM;;Speaking of the new 9x3v bit it also appears here.;Paldea
JEAQ;;;Paldea
^D^uIO2;;;Paldea
RW9;;One instance of RW9 appears in Galar, but I feel like that might be a coincidence.;Paldea
9KE MAQ;;This is the name of Ballonlea in Galar (technically 9KEMA). Was this a town of transplants from Galar??;Paldea
A4LA 0;;Galar is strange, words like A4LA are clearly existing words (in this case, obviously “AREA”). And yet other words aren’t anything like an existing word. I don’t get why it be like this…!!;Paldea
Voi!^op2 B6^h JFu6u^ M2nz5;;Seen in the Violet Book (probably the Scarlet Book as well?);Paldea
D^uio2 !i;;;Paldea
7SW3E4;;Wow, all the words in the eponymous books are ALL new text!;Paldea
DA+ST;;Do they even have a “China” in the Pokémon world? Anyways, technically this is new, but there does exist plenty of instances of DA+VT in Galar text (the V and S were swapped).;Paldea
WEBMCJ A4LA 0 NI!0^2O;;The actual content of the mysterious plate… (Thanks to 自然森林 for the image and TAMUsquirrel for the text!);Paldea
EWQ4J;;;Paldea
REL;;On the “whiteboard” in the history room, definitely new;Paldea
A621FO B!^H;;;Paldea
Yo^^i;;Extra text on sign (colored red in the graphic);Paldea
MZ R2U E15;;MZ R2U appeared in Galar on a sign for hamburgers, but E15 has never appeared before. I dunno if I should count this as new or not.;Paldea
VoI!^o2 B6^HCu | JFU6U^;;;Paldea
Ei5 W2I LIN! Kn2 hi6np f!u 61poz Yino2p52;;EI5 is a new word that appears on a certain road sign. There is text beneath, but it’s too small to accurately decipher right now. I think I got it MOSTLY right, however.;Paldea
BKQJ +C7;;;Paldea
MAK8EW3SDLV;;I think new concepts, companies, etc, were given brand new names;Paldea
LSDVT939X EP2H1 Q6^^np W6u M9kyex…;;Appears only in-store;Paldea
3if 1uhu!zp Aoznp;;Despite this text being unique, the name is generic.;Paldea
FC^1n n1^CF;;Although it uses Galarian letters, technically those kind of Asian-style signs are written right-to-left, so maybe it’s supposed to be the bottom?;Paldea
K+BTY J5UP1;;K+BTY appears in the Pincurchin Fried Rice Advert seen in the Pokémon Center banner ads, but is otherwise a new word not seen in Sword/Shield. Iono’s logo in the upper-left corner, however, uses existing text (see “Iono’s livestream logo” below for more info);Paldea
D+OX ZU24+O VV^63 9on6^ ou5 A5FN2IO2^!;;The poster next to the “whiteboard” in the history room. This text has been seen in generic locations in the Galar region and elsewhere, such as on a few t-shirt designs;Paldea
REKLBE QTVEWM S+CS3YCB;;The top text appears in scrolling text, while the bottom has appeared in piecemeal at various locations;Paldea
TXL3L89;;On the “whiteboard” in the history room, seen in Wyndon Event menu;Paldea
R!15UPHU MNI 5u^6f b5inf^! A5F;;Incidentally the Alolan text says: ALOLAN RAICHU REGIONAL VARIANT ALTAR OF THE SUNNE LAND RICH IN NATUR (Yes, the word “NATUR” is cut off like that.);Paldea
3YCB;;Originally seen on a Gramophone Records album sign;Paldea
DZIH YBRS;;Originally seen on a Gramophone Records album sign;Paldea
rekl;;I thought this would be something new, but those letters appeared in Galar, such as in TV scrolling text and Wyndon Stadium;Paldea
3n512 oz6;;Previously seen on a Galar monorail info stand;Paldea
QKLRE8L9J+T8W DALTAC;;Using generic text seen countless times in Galar;Paldea
REKLBEQTVEWMS+CS3YCB;;Bunch of generic text smushed together, individual chunks of letters have appeared many places.;Paldea
+T8W Sclxv3;;I’m putting this in the generic section because MOST of its name has appeared elsewhere, although technically SCLXV3 never has (instead ACLXV3 was used).;Paldea
s^n!5 duz!n^o2h^f 9ON6;;More generic text pulled from multiple locations;Paldea
9ON6^ 3VEWC;;;Paldea
MS+C;;Actually the texture is flipped horizontally.;Paldea
Q!56F Ecbsa3C;;Technically seen before but written as Q!5PF instead of Q!56F.;Paldea
+T8WSC LXV39 Rop 8800 / 3po 9900;;More “basically the same but technically new” since some letters were added in where they normally don’t belong.;Paldea
A5FN2IO2^!;;Generic;Paldea
WIOPNU2!2^ M15I62FOI!1n roph2iu6z5n;;The last two or three characters in each line seem to be tacked on as the rest of the word is seen in many long word generic phrases.;Paldea
QKLRE8L9J+T8Saclx 4p2ho;;That first line is used a lot in generic text… it’s even already showed up on THIS list!;Paldea
QKLRE8 RE;;This almost looks like it says “Nintendo TM“;Paldea
QD7S9X;;Only QD7S9/QD7S has been seen before.;Paldea
RW93;;Seen only once before, and on a Pokémon League sign… maybe it means “Energy”?;Paldea
M15I62FOI!1n roph2iu6z5n2;;;Paldea
tz26;;;Paldea
QD7 S9X4;;;Paldea
wiopnu2!2 dzih So16 b5inf^!^i6^op2i ^51^ophn!z R!u1z c6u dzih So16;;Some advertisements had new text on it, others did not. How strange…! The fourth line of text appeared in the Battle Cafe in Galar;Paldea
JC9E;;I almost feel like this means “MENU”, but this word appeared in Galar in a wholly un-menu-y context.;Paldea
L9J+T V5nz2ho 3if1uhu!zpaoznp;;Despite this name being generic, its subtitle text was wholly new.;Paldea
L9J+T;;It literally has the same flippin’ name. There are a TON of words used inside and outside of the Treasure Eatery, which I’m not gonna bother writing up just yet.;Paldea
wms+CS3 WAELBRSKT DFI1U ROPH2IU;;Generic title, the third word is seen on food-related boxes. Maybe that means “food”?;Paldea
qklre WAELBRSK;;;Paldea
REKLBEQT;;;Paldea
A5FN2IO2^!;;Is the Dedenne advertisement from above selling these cans??;Paldea
Czon6;;In the Art room there are some posters of Bird Pokémon in the corner with the word Czon6 on it. That word was used on a “Sea urchin” t-shirt in Galar.;Paldea
R!U1Z Jniu6 3po Yn^u^f2i K5 1!oz2o TN HF^IZ!^ V5N ^5FNH +UONP5HU DZIH So16 +i!z6 712n r!u1z c6u lhu6p 8i6 9n2u1 d1! Sohi6 42 c6u dzih So16 +5!z6 Lin! Khfu5i 712n;;Or maybe they’re starter Pokémon breeding authentication certificates? Either way the texture is flipped horizontally. What’s crazy is that, despite the fact that you’ll never see this detail in-game, each of the three awards/certificates have specifically different text. Sure it’s all Lorem Ipsum text, but still…! I color coded them on the left, if they’re black then they’re the same across all three, but green, blue and red text means it’s unique for the left, center and right award, respectively.;Paldea
9EMRE;;This word previously appeared outside every Gym in Galar. Meanwhile, the 9EMRE stores have a bunch of words which I’ll write down later.;Paldea
QKLRE8L9J+T8WSC;;Not again… I’m getting sick of this particular line of text…!;Paldea
A73VejC9;;Seen in the Galar League Sign;Paldea
QFI1NP!I62;;This text was seen in Rose’s energy presentation in Sword/Shield.;Paldea
oni6^of Biho^526 MNI 5u^6f 4p2ho s^n!5 ^N5U1Z^O R3ECBSM3;;New homes to buy! I wonder if this place was originally planned to be an actual place where you could choose your own secret base at, but this feature was removed (or at least postponed for a later DLC)?? Most of the names are old but the second one appears to be unique. How odd… The third one is seen in the Alolan text above… maybe it means “beach-front property”? The fourth one was seen in SwSh on text relating to Sableye.;Paldea
J1!6I^;;Originally seen in Battle Cafe text.;Paldea
T2 HF^IZ;;This text was previously seen on Hop’s cell phone, almost like it said “previous page” or something.;Paldea
r!u1z c6u dzi^;;Text previously appeared in a Bob’s Your Uncle menu;Paldea
DALTA CQRA7;;Alas, these letters appeared all over the place in Galar.;Paldea
XV39TSA8;;Yellow shop or restaurant. Repeats in blue shop next to it;Kalos
ZON6;;Potion sign;Kalos
?QRU#QT DEMLE4;;Pokéball sign;Kalos
<QDAB L9DEQ#C;;;Kalos
B9CJTS4;;;Kalos
[---] U1Z5O [---] QQLRE8L ^HN L9J+T88 2U^ NI;;Blackboard;Kalos
[---] BEQT 3POONI6(H) SO16 +CS3YC [---];;Blackboard;Kalos
R!1U5PHU 2N!U 4P2HO B5INF^!^ I6^OP2 I^51 6^OP2 ?SELBRS;;Blackboard standing in front;Kalos
RE[---] RSTQAEM;;Headphones ad;Kalos
\$TS8 ?¨BER¨SV7Y;;;Kalos
[---] R#93+Q [---];;;Kalos
V2OZ2HP;;Taxi?;Kalos
JFU6U^ [---]2NZ5[---] VOI!^OP2;;;Kalos
Q6\^[---] 3(can be a new symbol)[---];;There is more text barely readable;Kalos
3N512 OZ6 J5H16;;"Subtitles: ""This is a promotion match announcement""";Kalos
BX(can be a new symbol)(2) ()25^;;Lumiose tower. Text sideways;Kalos
<QDAB;;Probably the line name;Kalos
E6!^2 [---] EP2H1 Q6^N 75U RN!O2I BF622 IU 95NOP B6(^)H VOI!^OP2 M[---] JFU6U(^) A[---]P 96112!Z;;Some of the lines or destinations are not readable;Kalos
MB%ERBYJ8\$E L89#R;;;Kalos
V([---])!^O(#);;Pink Furfrou ad;Kalos
<QDAB RQ94;;;Kalos
Q12-OIUNH O6=N&F1 P2 <N¨U1OI!Z;;;Kalos
M12¨U L <QDAB;;;Kalos
<EXBQC37E7T 96N BI1PO 4O1 QNFIO X6N5O6!F;;Accompanying text description;Kalos
RELBEQ TVE?MS;;;Kalos
-RBYE4J¨SQS9LA-D XNI15 V2OZ2HP TZ26 BH Q2U5I!;;Accompanying text description;Kalos
DFI1U J1!6I^OHZU;;;Kalos
%98QL<V7\$J-RY<QV 3N512 OZ6 J5H16 72F1I!UU 5!O;;Accompanying text description;Kalos
?QRU#QT DEMLE4;;;Kalos
\$TS8?¨8ER¨SV7YD¨8 LHO6@ 8I6 9N2O1 D1! SOHI6 42;;Accompanying text description;Kalos
QYEVTJ8 3C9M;;;Kalos
Q\$J8L-?<D3< VH #2HI!P O56!2ON5 X2IO16OI;;;Kalos
\$TS8 ?¨8ER¨SV7Y;;;Kalos
M8%ER8YJ8\$EQA<9Q R!O1Z C6O DZIH SO16 +I!Z6 712N;;Accompanying text description;Kalos
D^26ZU;;;Kalos
A5FN2IO2^!;;In Japanese: TOSHI SAIKAIHATSU KOUSOU;Kalos
<QDAB RQ94;;Subtitle;Kalos
D+OX ZU24+OVV^63;;A vision of beautiful coexistence between people and Pokémon. In Japanese: HITO TO POKEMON NO I SON WO YUMEMITE;Kalos
